,dataset,k,Average Mean Error,Average stdDev
1,4,,,
2,4,2.0,7.762052171311828,5.96294991976642
3,4,3.0,7.629710318505407,5.844772366011214
4,4,4.0,7.005638769217314,5.599632558558646
5,4,5.0,6.631308224859308,5.422260091019749
6,4,6.0,6.32531093783184,5.132051508265818
7,4,7.0,6.1679731053221545,5.0484662755489795
8,4,8.0,6.123952039516007,4.873890668100664
9,4,9.0,6.925555772839502,4.823754093113207
10,4,10.0,6.02299778839823,4.715222360110464
11,4,11.0,6.495814931326681,4.626752313242244
12,4,12.0,5.8571798439374385,4.626444289212086
13,4,13.0,7.591622411965834,4.492052797865623
14,4,14.0,5.712254947011884,4.549610121552617
15,4,15.0,7.823888765953749,4.400055159206616
